gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20713.Quantity.log2,D14.20714-40ul.Quantity.log2,D14.20715.Quantity.log2,D14.20716.Quantity.log2,D14.20717.Quantity.log2,D21.20718.Quantity.log2,D21.20719b.Quantity.log2,D21.20720.Quantity.log2,D21.20721-40ul.Quantity.log2,D21.20722.Quantity.log2,M03.20723.Quantity.log2,M03.20724.Quantity.log2,M03.20725.Quantity.log2,M03.20726-40ul.Quantity.log2,M03.20727.Quantity.log2,M06.20728b.Quantity.log2,M06.20729.Quantity.log2,M06.20730.Quantity.log2,M06.20731.Quantity.log2,M06.20732.Quantity.log2,M12.20733.Quantity.log2,M12.20734.Quantity.log2,M12.20735.Quantity.log2,M12.20736.Quantity.log2,M12.20737.Quantity.log2,M18.20740-40ul.Quantity.log2,M18.20741.Quantity.log2,M18.20742.Quantity.log2,M18.20743.Quantity.log2,M18.20744.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway
Ptprc,P06800,P06800;S4R1M0,Receptor-type tyrosine-protein phosphatase C,144836.71,26,27,90,10,6.450525807700217,5.7849044858355185,6.5980370178139065,6.654490513773608,7.205888447130002,8.345140823420401,6.983800375947447,5.313445789045858,5.699059704546085,7.218212303292234,7.038110865669459,6.117938226247382,,,,5.451870745423655,6.906268296977493,7.986690368603273,5.71410451776102,6.432018826991737,5.951103078736012,6.524238481843526,6.2746937947104815,7.4586874610700065,6.657101103366643,6.3577317278773835,6.400303836993332,7.040727170722046,7.135360310822849,7.8934941096406845,7.559556807471094,8.434909289496964,7.157705742330294,8.821792955047865,8.432606888953122,8.878689241273761,0.7997551056611668,0.875192688151009,0.14751121011368973,FALSE,0.26225676723201613,0.00983955447842776,0.0651470037211253,1.7471038056064945,FALSE,3.4301908785244435,"pattern binding;glycoprotein binding;catalytic activity;phosphoprotein phosphatase activity;protein tyrosine phosphatase activity;receptor binding;binding;protein binding;glycosaminoglycan binding;cytoskeletal protein binding;heparin binding;hydrolase activity;hydrolase activity, acting on ester bonds;phosphatase activity;enzyme binding;kinase binding;protein kinase binding;carbohydrate binding;polysaccharide binding;ankyrin binding;spectrin binding;phosphoric ester hydrolase activity;proteoglycan binding;heparan sulfate proteoglycan binding",cell activation;immune system process;protein modification process;protein dephosphorylation;phosphorus metabolic process;transport;ion transport;cellular ion homeostasis;response to stress;cell communication;cell adhesion;signal transduction;metabolic process;cell proliferation;response to external stimulus;response to biotic stimulus;response to abiotic stimulus;cellular process;response to extracellular stimulus;protein metabolic process;cellular homeostasis;biological adhesion;cell differentiation;regulation of protein modification process;developmental process;homeostatic process;macromolecule metabolic process;macromolecule modification;cellular metabolic process;primary metabolic process;cell development;anatomical structure development;response to stimulus;regulation of transport;regulation of DNA metabolic process;establishment of localization;multi-organism process;regulation of cell cycle;biological regulation,plasma membrane;cell surface;membrane;bleb;cell projection;cell part,Cell adhesion molecules (CAMs);T cell receptor signaling pathway;Fc gamma R-mediated phagocytosis;Primary immunodeficiency
Me1,P06801,P06801,NADP-dependent malic enzyme,63953.75,93,30,100,53.5,10.940841704680043,10.135777492809765,12.90464348368242,12.871130009816994,12.737592992724444,12.298795104170086,10.11842294320402,10.52237583516216,10.741121308082365,12.058445308768285,11.26384312818338,9.987400469362202,9.74975764113447,9.918631619170064,10.464798364766487,10.558299369615607,12.964765831999102,13.01038365923878,13.19495293653679,12.578554318802311,12.774560671835117,13.451949076527512,13.08530176884774,12.357113273092637,12.59401039634351,12.867275534273569,12.99792930541691,12.589026568558552,12.84930477667019,12.253024970100068,12.998679342876496,12.928800810715678,12.759772904616206,13.11777561389551,11.80907529482342,10.87855089679961,0.0029028202426527,0.0307616887198426,1.9638017790023792,TRUE,5.5914137191216735,0.2272585895391115,0.366186637591993,-0.6058483795123344,FALSE,-1.3973990383512338,"nucleotide binding;magnesium ion binding;catalytic activity;malic enzyme activity;malate dehydrogenase (decarboxylating) activity;malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity;binding;protein binding;oxaloacetate decarboxylase activity;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;malate dehydrogenase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;lyase activity;carbon-carbon lyase activity;carboxy-lyase activity;manganese ion binding;identical protein binding;ion binding;cation binding;metal ion binding;transition metal ion binding;cofactor binding;NADP binding;coenzyme binding;NAD binding",organic acid metabolic process;nucleobase-containing compound metabolic process;protein complex assembly;nitrogen compound metabolic process;metabolic process;nucleotide metabolic process;response to endogenous stimulus;cellular process;cellular component organization;cellular component assembly;cellular nitrogen compound metabolic process;cellular ketone metabolic process;response to chemical stimulus;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;response to stimulus;cofactor metabolic process;nucleobase-containing small molecule metabolic process;macromolecular complex assembly,cytoplasm;mitochondrion;cytosol;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,Pyruvate metabolism;Carbon fixation in photosynthetic organisms
Ttr,P07309,P07309,Transthyretin,15775.92,12,30,100,5,5.855242190734524,6.911767930892838,7.03238100421583,7.8577932914258835,6.67675876746461,6.465944680576515,5.122344597852115,5.86357917362268,5.827192367852385,6.272372643966797,6.190722170378644,6.257285971411427,6.81205721645229,7.029904913015336,7.6380376775479,6.8215538760372345,6.459589959064878,7.127381346043688,7.27571673770341,6.968945343869191,7.330271634397987,7.758146139020229,7.683404699403613,8.206328191293368,7.160749465455049,8.480337961957165,6.553639839400846,6.4941542683225055,6.219564861786235,8.436359659949606,5.6800752078638554,6.8428954531486434,5.648597752237704,6.648707126706267,6.373862540386112,6.815660530403844,0.00208740904527793,0.0265823342963419,1.1771388134813066,TRUE,4.593103236371961,0.07338493119993299,0.176436181442058,-0.5664363236393157,FALSE,-2.0940236431119925,receptor binding;hormone activity;binding;protein binding;hormone binding;identical protein binding;thyroid hormone binding,nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;nucleobase-containing small molecule metabolic process,extracellular space;macromolecular complex,
Anxa2,P07356,P07356,Annexin A2,38676.2,54,30,100,41,11.725436121136394,11.875705273281946,12.40342897570385,12.51041570147906,12.424196287601012,12.19990958222491,12.08846703223166,11.43614955718408,11.686618178555872,11.77725892770503,11.63868691000532,11.692499189763623,11.912680053132302,11.871999492085632,11.776804884352378,12.124542747075791,12.193838144088154,12.29428363227519,12.530447774206216,12.40363412824643,12.59494119970326,12.54394678391624,12.62545000467897,12.330114177390586,12.505726645455171,12.546840895954332,12.693452288039014,12.292895772729173,12.50175252805064,12.361657499292136,12.2712233498941,12.100417399882067,12.136354566215925,12.3145188004562,12.293402887028265,12.154854257542096,0.001149809187633,0.0208355151281655,0.6779928545674583,TRUE,5.232013621109275,0.05182160662943382,0.14428959811638,-0.2035193934789401,FALSE,-2.3779787763982543,"phosphatidylserine binding;protease binding;enzyme inhibitor activity;phospholipase inhibitor activity;endopeptidase inhibitor activity;serine-type endopeptidase inhibitor activity;transporter activity;ion channel activity;cation channel activity;calcium channel activity;binding;calcium ion binding;protein binding;phospholipid binding;calcium-dependent phospholipid binding;phosphatidylinositol-4,5-bisphosphate binding;cytoskeletal protein binding;lipid binding;cation transmembrane transporter activity;ion transmembrane transporter activity;channel activity;phospholipase A2 inhibitor activity;enzyme binding;passive transmembrane transporter activity;substrate-specific channel activity;transmembrane transporter activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;enzyme regulator activity;peptidase inhibitor activity;small GTPase binding;phosphatidylinositol binding;identical protein binding;ion binding;cation binding;virion binding;metal ion binding;calcium-dependent protein binding;GTPase binding;lipase inhibitor activity;peptidase regulator activity;endopeptidase regulator activity",nucleobase-containing compound metabolic process;transcription from RNA polymerase II promoter;nitrogen compound metabolic process;transport;organelle organization;plasma membrane organization;metabolic process;biosynthetic process;cellular process;cellular component organization;cellular membrane organization;vesicle organization;RNA metabolic process;cellular component assembly;extracellular matrix organization;regulation of protein modification process;multicellular organismal process;developmental process;regulation of organelle organization;cellular nitrogen compound metabolic process;extracellular structure organization;macromolecule metabolic process;cellular metabolic process;primary metabolic process;secretion;anatomical structure formation involved in morphogenesis;regulation of body fluid levels;regulation of transport;localization;establishment of localization;cellular localization;membrane organization;biological regulation,extracellular space;nucleus;cytoplasm;endosome;lipid particle;cytosol;cytoskeleton;plasma membrane;cell cortex;cell surface;membrane;cytoplasmic membrane-bounded vesicle;midbody;vesicle;macromolecular complex;cell projection;organelle;intracellular organelle;extracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;cell part,
Tyms,P07607,P07607,Thymidylate synthase,34958.06,8,20,66.7,4,5.109658923503406,5.958503255957706,4.633385232873201,4.664841341041194,4.264494801245851,,5.444489198774709,4.865182656147046,5.145862041985118,5.581171038325945,4.511589682284213,5.681317562683903,5.96932731898143,5.893019745486626,6.015106188336059,6.233745464300512,4.965673242886007,4.095925900456619,4.633044879779322,,4.838896908370855,,5.458372942869871,4.214377971252867,3.9657341804303368,5.020880269611704,4.266934482859787,4.262055119631916,,,,,,,,,0.0612907250017391,0.170511024378679,-0.6338201765587703,FALSE,-2.179677790053989,0.17741852041733436,0.308747266276376,-0.8134281505385297,FALSE,-1.5438455119879042,"translation repressor activity, nucleic acid binding;nucleic acid binding;RNA binding;mRNA binding;catalytic activity;thymidylate synthase activity;binding;protein binding;folic acid binding;methyltransferase activity;amino acid binding;transferase activity;transferase activity, transferring one-carbon groups;vitamin binding;translation repressor activity;carboxylic acid binding;5,10-methylenetetrahydrofolate-dependent methyltransferase activity;identical protein binding;protein homodimerization activity;amine binding;translation regulator activity;protein dimerization activity;translation regulator activity, nucleic acid binding",nucleobase-containing compound metabolic process;regulation of translation;cellular aromatic compound metabolic process;one-carbon metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;nucleotide metabolic process;response to external stimulus;response to endogenous stimulus;cellular process;response to extracellular stimulus;developmental maturation;developmental process;cellular nitrogen compound metabolic process;growth;response to chemical stimulus;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;cell maturation;rhythmic process;anatomical structure development;response to stimulus;cofactor metabolic process;nucleobase-containing small molecule metabolic process;biological regulation,nucleus;cytoplasm;mitochondrion;cytosol;membrane;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,Pyrimidine metabolism;One carbon pool by folate
Alb,P07724,P07724,Albumin,68692.51,56,30,100,32.5,13.560661483731824,14.767422329403502,15.261383199494826,15.71386750511888,14.514194610689682,14.109528018853903,13.36825399698753,13.489137711131589,13.582017561822934,13.852817886091923,13.51108026262514,14.272752216969309,14.791985263835029,14.72022912128818,14.961389723819169,15.090755321105828,15.02512688634222,14.81816027034943,15.444824699979122,15.366236157814669,15.652567982988687,15.87583482655364,15.403383446091558,15.81186187895767,15.330106516142084,16.148150857849462,14.941643893036218,14.521818823845573,14.532622503727758,15.370284451822158,13.204603381016708,14.23547320133608,13.494383316974274,14.555993419675591,14.115315015432907,14.146475140850656,5.066119604607131e-5,0.0062407208388123,1.7007217157630024,TRUE,9.984054946392746,0.00106211440681345,0.0301018083396916,-1.1518551806409238,TRUE,-5.039291085403635,nucleic acid binding;DNA binding;binding;fatty acid binding;protein binding;zinc ion binding;lipid binding;toxin binding;amino acid binding;oxygen binding;vitamin binding;enzyme binding;pyridoxal phosphate binding;carboxylic acid binding;monocarboxylic acid binding;identical protein binding;ion binding;cation binding;amine binding;metal ion binding;transition metal ion binding;cofactor binding;chaperone binding;vitamin B6 binding;modified amino acid binding,response to stress;cell communication;behavior;response to external stimulus;cellular process;response to extracellular stimulus;response to starvation;rhythmic process;response to stimulus;biological regulation,extracellular region;extracellular space;cytoplasm;endoplasmic reticulum;Golgi apparatus;vesicle;macromolecular complex;organelle;intracellular organelle;extracellular organelle;intracellular membrane-bounded organelle;cell part,
Rrm1,P07742,P07742,Ribonucleoside-diphosphate reductase large subunit,90210.23,22,24,80,5,4.923701688361048,5.253765474412572,4.560896481175865,4.167941200711213,4.920222169979271,2.8671792735949486,5.393858219424981,4.524842613363174,4.340492743576785,5.636715659582569,4.722599205857733,5.714870259228078,5.598982176212118,4.934277569667171,4.511747949445227,5.508949417510266,5.1955518361687645,4.466964893938495,4.0205323901673955,,4.560536804428802,4.746227677870628,4.8762635316584415,3.635791174895417,4.38405317527901,3.1973704438525656,4.773909458182639,4.953209258408611,4.575476695185527,5.378293268140309,,,2.8671792735949486,,,,0.18270303538651844,0.341536689128738,-0.7703362319479066,FALSE,-1.497233868743742,0.05065638015789311,0.142649569049972,-1.2275865327276567,FALSE,-2.4530305413062243,"nucleotide binding;catalytic activity;ribonucleoside-diphosphate reductase activity;binding;protein binding;ATP binding;oxidoreductase activity;oxidoreductase activity, acting on CH or CH2 groups;oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;identical protein binding",nucleobase-containing compound metabolic process;DNA metabolic process;DNA replication;DNA repair;protein complex assembly;cellular aromatic compound metabolic process;nitrogen compound metabolic process;response to stress;response to DNA damage stimulus;regulation of mitotic cell cycle;metabolic process;cell proliferation;biosynthetic process;nucleotide metabolic process;response to abiotic stimulus;cellular process;cellular component organization;cellular component assembly;developmental process;cellular nitrogen compound metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;anatomical structure development;response to stimulus;regulation of cell cycle;nucleobase-containing small molecule metabolic process;macromolecular complex assembly;biological regulation,nuclear envelope;mitochondrion;cytosol;macromolecular complex;cell projection;neuronal cell body;organelle;intracellular organelle;intracellular membrane-bounded organelle;protein complex;cell body;cell part,Purine metabolism;Pyrimidine metabolism;Glutathione metabolism
Hsp90aa1,P07901,P07901,Heat shock protein HSP 90-alpha,84787.88,80,30,100,48,12.067998371022465,12.62458009722089,11.983172607479782,11.93629635126818,11.554902317603625,11.210759371476959,12.470602031159638,11.921280634338649,11.924789221355026,12.406483095219874,11.616836873039144,12.692534414220264,12.639727657615405,12.489029636349752,12.633814076910705,12.667794701008336,12.034637785008844,11.777692263301718,12.071965891024798,11.998997508871623,12.032569589191924,12.13736471143804,12.144859542076828,11.616127239339908,11.826245984311592,11.956884279174531,11.77122538072887,11.72948206822904,11.691885443836195,11.532090249062936,11.049828446161088,11.163065645680968,11.36068221415208,11.68462728542522,10.945016714769654,10.900404997356873,0.6395542866662656,0.761876188962117,-0.08482576354268367,FALSE,-0.4991094425577799,0.00389858506370431,0.0443750017257252,-0.7724132360028229,TRUE,-5.029650273668441,"nucleotide binding;UTP binding;CTP binding;nucleic acid binding;RNA binding;mRNA binding;catalytic activity;receptor binding;binding;protein binding;ATP binding;GTP binding;cytoskeletal protein binding;pyrophosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ATPase activity;purine nucleotide binding;sulfonylurea receptor binding;nucleoside-triphosphatase activity;guanyl nucleotide binding;pyrimidine nucleotide binding;enzyme binding;phosphatase binding;protein phosphatase binding;protein domain specific binding;enzyme regulator activity;nitric-oxide synthase regulator activity;adenyl nucleotide binding;TPR domain binding;ubiquitin protein ligase binding;deoxyribonucleotide binding;ribonucleotide binding;purine deoxyribonucleotide binding;purine ribonucleotide binding;pyrimidine ribonucleotide binding;adenyl deoxyribonucleotide binding;adenyl ribonucleotide binding;guanyl ribonucleotide binding;dATP binding;purine ribonucleoside triphosphate binding;identical protein binding;protein homodimerization activity;histone deacetylase binding;protein binding involved in protein folding;ion channel binding;protein dimerization activity;tau protein binding;GTPase binding;GDP-dissociation inhibitor binding;Rho GDP-dissociation inhibitor binding;unfolded protein binding;DNA polymerase binding;scaffold protein binding",immune system process;nucleobase-containing compound metabolic process;DNA metabolic process;DNA replication;protein folding;protein complex assembly;protein targeting;nitrogen compound metabolic process;transport;cellular component movement;muscle contraction;response to stress;response to osmotic stress;organelle organization;mitochondrion organization;establishment or maintenance of cell polarity;metabolic process;cell death;biosynthetic process;response to heat;response to abiotic stimulus;anatomical structure morphogenesis;response to endogenous stimulus;cellular process;protein transport;cellular component organization;cellular membrane organization;cell growth;death;protein metabolic process;cellular component assembly;regulation of protein modification process;regulation of protein stability;telomere organization;multicellular organismal process;developmental process;cellular component morphogenesis;cellular macromolecular complex assembly;cellular nitrogen compound metabolic process;growth;locomotion;response to chemical stimulus;homeostatic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cell motility;response to stimulus;regulation of transport;establishment of localization;chromosome organization;membrane organization;macromolecular complex assembly;biological regulation,nucleus;nucleoplasm;cytoplasm;mitochondrion;cytosol;plasma membrane;cell surface;membrane;cytoplasmic membrane-bounded vesicle;site of polarized growth;vesicle;macromolecular complex;neuronal cell body;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell body;cell part,Protein processing in endoplasmic reticulum;Antigen processing and presentation;NOD-like receptor signaling pathway;Plant-pathogen interaction;Progesterone-mediated oocyte maturation;Pathways in cancer;Prostate cancer
Aprt,P08030,P08030,Adenine phosphoribosyltransferase,19723.92,9,30,100,5,8.244448039074328,8.598016050036705,8.754854559684954,8.857142277260406,8.41231488703917,7.917107805326365,8.642056762425195,8.045754329747947,8.046517885741062,8.448875384091101,8.039035833366334,8.487112353184086,8.033291080874447,8.715383076630827,8.858572399325789,8.895721340168379,8.858674736785943,8.642641839052972,8.667828043964438,9.152995298449907,8.452132880171519,9.03823983410698,9.103841968905758,8.691341092689507,8.781705388506667,8.670583102093124,8.521409820748287,8.643692728203357,8.793566102412065,8.826052267623515,7.276853516208618,8.331082723950146,7.665075198429187,8.182919405837879,7.990268895430823,7.416192802983795,0.01873141769170768,0.0851144267536839,0.5104065206106263,FALSE,2.9423415702250986,0.00441198627545706,0.0463972853051325,-0.837746754358589,TRUE,-4.080698470610218,"nucleotide binding;nucleobase binding;adenine binding;purine base binding;catalytic activity;adenine phosphoribosyltransferase activity;binding;AMP binding;transferase activity;transferase activity, transferring glycosyl groups;transferase activity, transferring pentosyl groups;purine nucleotide binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding",nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;nitrogen compound metabolic process;transport;behavior;metabolic process;biosynthetic process;nucleoside metabolic process;nucleotide metabolic process;cellular process;multicellular organismal process;cellular nitrogen compound metabolic process;pigment metabolic process;cellular metabolic compound salvage;purine-containing compound salvage;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;secretion;regulation of body fluid levels;response to stimulus;establishment of localization;nucleobase-containing small molecule metabolic process;biological regulation,nucleoplasm;cytoplasm;cytosol;cell part,Purine metabolism
Spta1,P08032,P08032,"Spectrin alpha chain, erythrocytic 1",279865.06,98,21,70,26,5.26165756871245,5.090282420072353,6.058052967245079,5.8562719006406665,5.950059579292939,6.566258462377981,,,4.900058427152361,,5.623256710272539,5.55626630966601,5.116533069022581,4.735461819936355,,4.952868481664466,6.0791162399268535,6.036989694563305,,,,,5.225099000752482,6.391983508486343,5.951733192683174,,5.618326573584799,5.790879315259222,6.436002734005291,6.476568846942488,5.428520426672896,6.018451330564181,5.8510915277552185,4.69273222985877,7.838364328661685,8.430652895050052,,,,FALSE,,0.0504680552256339,0.14247154509408,2.3305972112232425,FALSE,2.302646262403708,actin binding;binding;calcium ion binding;protein binding;cytoskeletal protein binding;ion binding;cation binding;metal ion binding;actin filament binding,immune system process;nitrogen compound metabolic process;organelle organization;plasma membrane organization;cytoskeleton organization;metabolic process;biosynthetic process;cellular process;cellular component organization;cellular membrane organization;developmental process;regulation of organelle organization;cellular nitrogen compound metabolic process;homeostatic process;cellular metabolic process;heterocycle metabolic process;anatomical structure development;cofactor metabolic process;membrane organization;biological regulation,cytoskeleton;plasma membrane;membrane;cell projection;neuron projection;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cell part,
Cbr2,P08074,P08074,Carbonyl reductase [NADPH] 2,25958.16,8,29,96.7,4,5.883115893644904,6.592310326933666,6.858783507751648,6.7330268772950275,6.585986054695871,6.520695949665015,5.663370581318542,6.073380459330271,5.921865628607409,5.598041138166248,6.15892166080205,6.7125961624557355,6.493581854003636,6.765748434155426,6.424067848298061,6.565557335755474,6.60745550463182,6.946899226461206,6.530843986209062,6.4633030959937825,7.745415725462365,6.4988583345384985,7.061005410579471,6.688168762453317,7.011598370245036,6.405503508658817,7.082112324177238,6.551720581071502,5.769522404391646,6.88693429169764,6.639640672141331,6.628078142763859,6.040153576206148,6.410373969619638,7.0041781100704155,,0.01076611552553942,0.061309903100553,0.9756676141067436,FALSE,3.735582785851717,0.2238030088285743,0.362851461352478,-0.997684874033995,FALSE,-1.3895153166173069,"catalytic activity;carbonyl reductase (NADPH) activity;binding;protein binding;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;identical protein binding;protein self-association;L-xylulose reductase (NADP+) activity",carbohydrate metabolic process;alcohol metabolic process;nucleobase-containing compound metabolic process;nitrogen compound metabolic process;metabolic process;nucleotide metabolic process;cellular process;cellular nitrogen compound metabolic process;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;cofactor metabolic process;nucleobase-containing small molecule metabolic process,mitochondrion;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,Arachidonic acid metabolism
Hsp90b1,P08113,P08113,Endoplasmin,92475.77,130,30,100,87.5,13.828643545143857,14.513135616334106,13.967861761383705,13.896482003772556,13.685818604045071,14.007399956393082,13.919914330631222,13.792028073728266,13.943693818592331,13.786015711388218,13.70156579137925,14.304587090951504,14.813707418710438,14.266832568771934,14.589552745422605,14.590998257814045,13.836200445579433,13.981592975303885,13.886936802740925,13.93379968431589,14.200778898978385,13.933778617351942,13.96909812847972,13.833627190849596,13.942984503499916,13.802921578681609,13.665693623860372,13.683647993198266,13.70381826092859,13.803233840821298,13.572699301416822,13.679569118334864,13.723288575786174,14.038035656674348,14.314763699305916,14.281342731864102,0.11430002394857287,0.254937543708397,0.1392182162398452,FALSE,1.7946377448211015,0.7987821849839514,0.869649285143139,0.0395381950093796,FALSE,0.2671345052930674,"nucleotide binding;nucleic acid binding;RNA binding;catalytic activity;receptor binding;binding;protein binding;ATP binding;pyrophosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ATPase activity;purine nucleotide binding;nucleoside-triphosphatase activity;enzyme binding;phosphatase binding;protein phosphatase binding;adenyl nucleotide binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;purine ribonucleoside triphosphate binding;protein binding involved in protein folding;low-density lipoprotein particle receptor binding;unfolded protein binding;lipoprotein particle receptor binding",protein folding;proteolysis;transport;response to stress;organelle organization;cytoskeleton organization;metabolic process;catabolic process;cellular process;protein transport;cellular component organization;protein metabolic process;cellular component assembly;response to chemical stimulus;hormone metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;response to stimulus;establishment of localization;proteolysis involved in cellular protein catabolic process;protein maturation;biological regulation,extracellular region;endoplasmic reticulum;cytosol;membrane;cytoplasmic membrane-bounded vesicle;midbody;vesicle;macromolecular complex;organelle;intracellular organelle;intracellular membrane-bounded organelle;protein complex;cell part,Protein processing in endoplasmic reticulum;NOD-like receptor signaling pathway;Plant-pathogen interaction;Pathways in cancer;Prostate cancer
Col3a1,P08121,P08121,Collagen alpha-1(III) chain,138943.31,11,28,93.3,5,6.8668728033039255,6.952573653226909,5.88843067699554,5.663806299325698,5.830225178957541,5.711811403767009,7.293847395287576,6.936937205507602,7.451382054425047,6.124126045967508,6.528071315331897,6.314397234430707,7.225031463103528,7.058410460712917,7.036471627377542,7.128557480509848,5.857001903773886,6.2138697325341266,5.846260805857397,5.69527672630811,5.829744216504183,5.570392412941378,5.7374354086589054,5.774718805218814,5.531561843236,5.704923026573389,5.499635098869946,5.728079215018879,5.647968550882221,6.445217851059114,,,5.298243282709113,5.229483646881164,6.606075321305192,5.713443364172569,0.01305184284980781,0.0686108268301028,-0.9784421263083852,FALSE,-3.77336165270801,0.2964019803597685,0.438166801783934,-0.7359421048009498,FALSE,-1.1930978101322274,protease binding;receptor binding;integrin binding;structural molecule activity;extracellular matrix structural constituent;binding;protein binding;growth factor binding;enzyme binding;extracellular matrix structural constituent conferring tensile strength;protein complex binding;ion binding;cation binding;SMAD binding;metal ion binding;platelet-derived growth factor binding,cytokine production;cellular component movement;response to stress;cell adhesion;signal transduction;metabolic process;cell proliferation;response to external stimulus;response to abiotic stimulus;anatomical structure morphogenesis;response to endogenous stimulus;embryo development;cellular process;cellular component organization;cellular component assembly;biological adhesion;cell differentiation;extracellular matrix organization;multicellular organismal process;developmental process;growth;locomotion;response to chemical stimulus;homeostatic process;extracellular structure organization;macromolecule metabolic process;anatomical structure formation involved in morphogenesis;anatomical structure development;cell motility;response to stimulus;biological regulation,extracellular space;extracellular matrix,Focal adhesion;ECM-receptor interaction;Protein digestion and absorption;Amoebiasis
Col4a2,P08122,P08122,Collagen alpha-2(IV) chain,167324.64,6,30,100,3,5.970355784689717,5.606151558955535,5.8889998624518824,5.711265874156058,6.9862266531550645,5.9018201711279215,6.00852727462501,4.959396293419143,6.239076221983522,6.602491368457419,6.0422877649634925,5.58717307643932,5.551605830113229,5.146985779956133,6.206819572620505,5.538173535648487,6.012531621954479,5.9792944369337615,5.34591169470761,6.170133200081422,5.937128358582139,5.586173438166674,5.404504936196431,5.553024674424809,6.343606881447954,5.669019440544422,5.936180339237568,7.599803336500192,7.884358078292714,6.133881591794822,7.376909919950025,5.487432936093086,6.129100448266702,6.492382797363788,5.7561421495332015,5.644042524382831,0.8006716067509876,0.875876034523513,-0.08135592223783483,FALSE,-0.2639404986489431,0.9570269063617556,0.975180960061531,0.012820308676039,FALSE,0.05570050170454439,structural molecule activity;extracellular matrix structural constituent;extracellular matrix structural constituent conferring tensile strength,nucleobase-containing compound metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;response to endogenous stimulus;cellular process;cellular component organization;RNA metabolic process;cell differentiation;extracellular matrix organization;developmental process;cellular nitrogen compound metabolic process;response to chemical stimulus;extracellular structure organization;macromolecule metabolic process;cellular metabolic process;primary metabolic process;anatomical structure formation involved in morphogenesis;response to stimulus;biological regulation,extracellular region;extracellular space,Focal adhesion;ECM-receptor interaction;Protein digestion and absorption;Amoebiasis;Pathways in cancer;Small cell lung cancer
