gene_symbol,uniprot_id,protein_groups,protein_description,mol_weight_da,n_precursors_exp,n_samples_detected,pct_samples_detected,median_precursors_used,mean_log2_D14,mean_log2_D21,mean_log2_M03,mean_log2_M06,mean_log2_M12,mean_log2_M18,D14.20747.Quantity.log2,D14.20748.Quantity.log2,D14.20749.Quantity.log2,D14.20750.Quantity.log2,D14.20751.Quantity.log2,D21.20752.Quantity.log2,D21.20753.Quantity.log2,D21.20754.Quantity.log2,D21.20755.Quantity.log2,D21.20756.Quantity.log2,M03.20757.Quantity.log2,M03.20758.Quantity.log2,M03.20759.Quantity.log2,M03.20760.Quantity.log2,M03.20761.Quantity.log2,M06.20762.Quantity.log2,M06.20763.Quantity.log2,M06.20764.Quantity.log2,M06.20765.Quantity.log2,M06.20766.Quantity.log2,M12.20768.Quantity.log2,M12.20769.Quantity.log2,M12.20770.Quantity.log2,M12.20771.Quantity.log2,M12.20772.Quantity.log2,M18.20775b.Quantity.log2,M18.20776-40ul.Quantity.log2,M18.20777.Quantity.log2,M18.20778.Quantity.log2,M18.20779.Quantity.log2,p.value.M03-D14,adj.p.value.M03-D14,log2.fold.change.M03-D14,is.significant.M03-D14,t.statistic.M03-D14,p.value.M18-M03,adj.p.value.M18-M03,log2.fold.change.M18-M03,is.significant.M18-M03,t.statistic.M18-M03,go_molecular_function,go_biological_process,go_cellular_component,kegg_pathway
Hebp1,A0A140T8J4,A0A140T8J4;Q9R257,Heme-binding protein 1,21052.82,9,30,100,5,3.987985112820192,3.9195474061714863,4.469816416300523,4.986584712368148,5.162539180764198,5.759400517389537,3.57733062710219,3.952078149080324,4.285520890830025,3.8178488811057663,4.307147015982657,3.4904850252896615,3.5042615813709515,4.254055456039388,4.176046350255145,4.1728886179022835,4.420475690223369,4.594526330587517,4.0094659316011425,4.691198901430378,4.633415227660205,5.102427333408628,4.735932881575212,5.498858821363904,4.8960420607628095,4.6996624647301894,5.122808409321293,5.247331425171758,4.773628207116935,5.783913751543376,4.885014110667626,5.27821845456475,4.780972519243234,5.376433449908869,6.72654352112626,6.634834642104572,0.03275597806721574,0.0921378868776397,0.4818313034803299,FALSE,2.584839213516857,0.02673801324234516,0.141919691158969,1.289584101089014,FALSE,3.1542733314104408,,,,
Igkv6-15,A0A140T8M5,A0A140T8M5,Immunoglobulin kappa variable 6-15 (Fragment),12757.18,4,26,86.7,2,4.009908916056391,4.5377450944203295,5.641937463615489,6.715821717233192,6.890627149522926,6.650774586581572,4.132735831379668,4.311697185321188,2.5694594217708313,4.399268144196226,4.6363839976140415,4.5377450944203295,,,,,6.159712459357422,5.478188844811619,4.782351593549504,6.146008774275807,5.643425646083092,6.946138732868887,6.669941691287551,7.37389253510004,6.191456424762962,6.397679202146524,7.078617807112526,6.213664043634901,7.361518423557201,5.75895360257849,8.040381870731514,5.880778789383787,6.133586418535415,7.146745318950627,6.427587534601143,7.66517487143689,0.00806826747040342,0.0354871600503894,1.6320285475590977,TRUE,3.643405804748152,0.04376137246422525,0.182488228842208,1.0088371229660833,FALSE,2.420914606765563,,immune system process;response to stimulus,extracellular space,
Igkv6-32,A0A140T8N9,A0A140T8N9,Immunoglobulin kappa variable 6-32 (Fragment),12656.32,3,24,80,2,4.715194527411489,4.897125882890882,5.478258296616281,6.484084499598905,5.849131602708591,6.723699663580822,,5.245806259500503,,4.54952265227974,4.350254670454225,,,,4.897125882890882,,4.607325798095506,5.3577905122545,5.185088807820296,7.012797570006219,5.228288794904888,6.815146573292512,5.772276109080943,7.1033952316555835,6.69256644538134,6.037038138584144,6.661479984095136,4.194529335719234,5.3464868159124865,7.151344714041272,5.8918171637748316,5.799273616489055,7.267533814998467,6.575691921481998,7.463007798872312,6.5129911660622835,0.05100117143808377,0.12695487555194299,1.334430791238308,FALSE,2.293709852363163,0.04061990536080415,0.176200928760036,1.245441366964541,FALSE,2.481106642187791,,immune system process;response to stimulus,extracellular space,
Igkv8-24,A0A140T8P5,A0A140T8P5,Immunoglobulin kappa chain variable 8-24 (Fragment),13263.99,2,21,70,2,4.197080328741322,,4.98868679393723,5.187469729967948,7.600362631889714,8.011455628594856,,,,4.197080328741322,,,,,,,5.4859247292925515,5.629972763130351,5.085971932528722,4.109602091309005,4.631962453425523,4.271087106117447,4.755146140885291,5.843304629613792,5.206788726487145,5.861022046736068,12.032715530412466,8.129750262359954,5.869040745447666,6.24369190451096,5.726614716717527,9.74554497923749,12.624492166397538,5.082691729210216,6.077510575861562,6.527038692267474,0.0105753392819621,0.0424090489738969,2.026674868549827,TRUE,3.5809374353977965,0.0953463603393132,0.2786441546423,3.022768834657626,FALSE,2.1274324382669265,,immune system process;response to stimulus,extracellular space,
Igkv14-111,A0A140T8P9,A0A140T8P9;P01638,Immunoglobulin kappa variable 14-111 (Fragment),13232.12,5,24,80,3.5,4.923540226183505,,5.596048760703275,6.520942804335664,6.482854982446689,7.230420060273763,5.219877810291597,,4.752279468951586,5.034124583152528,4.687879042338311,,,,,,5.704574600076639,5.628281546934597,4.984960769428991,5.823024892451427,5.839401994624725,6.625509089020923,6.21379321435042,7.117451285412373,6.749200933179819,5.898759499714784,6.664153303503648,5.552664055734435,6.4547314081855145,6.373184042028234,7.369542102781613,6.701296413591934,7.513922604981211,7.021500039858772,6.9016697650567185,8.013711477880188,0.12963199905712494,0.243942726483096,1.4006191766947698,FALSE,1.8646107170307389,7.232864750633141e-4,0.0249684232260937,1.6343712995704882,TRUE,5.7379933667117875,,immune system process;response to stimulus,extracellular space,
Igkv6-17,A0A140T8Q3,A0A140T8Q3,Immunoglobulin kappa variable 6-17 (Fragment),12760.3,2,26,86.7,2,4.729781983421993,3.6871156063756487,5.004915108453879,5.672516955035209,5.672772770056733,6.206899287083772,4.081245787544746,4.156505925833058,4.356200208683452,5.4304880285084485,5.6244699665402615,,,3.6871156063756487,,,4.187582236655621,4.329072558467614,4.713588833473382,6.140903707099074,5.653428206573706,4.6092398455207295,5.264096208517713,5.856871909454838,6.593246237777,6.039130573905766,5.70583716688439,3.919985957879683,6.049374967797349,5.812552984549621,6.87611277317262,5.504633290287081,6.883244385246287,5.466927067672195,6.375620557632291,6.8040711345810045,0.601053878523832,0.711223008902299,0.27513312503188647,FALSE,0.5447929673018732,0.04112955844360174,0.178014347235485,1.2019841786298926,FALSE,2.4525267610304966,,,,
Rcor1,A0A140T8R7,A0A140T8R7;Q8CFE3,REST corepressor 1,43886.52,16,30,100,6.5,6.683542458784525,6.792344125970215,6.595973854698535,6.442992088470423,6.651834118284768,6.506044727689714,6.590034858083165,6.59222809861149,6.654666071834555,6.88631718656277,6.694466078830645,6.833729769191291,6.535000029764477,6.88903877915776,7.00573744034549,6.69821461139205,6.568027422659271,6.5651510164139255,6.318133712586091,6.800076566860699,6.728480554972689,6.001011763042313,6.646131829625199,6.768896163620025,6.469663178830544,6.329257507234039,6.654411721816483,6.5458897167035985,6.6587386273460965,6.50460710649319,6.895523419064467,6.611335434026558,6.802425250342236,6.112179852068366,6.533844661828047,6.470438440183357,0.4076391698044895,0.548427396673096,-0.08756860408599021,FALSE,-0.8816688840150366,0.5412990569541102,0.735088107709471,-0.08992912700882094,FALSE,-0.6405235535159074,,,nucleus;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,Huntington's disease
Rpl9-ps6,A0A140T8T4,A0A140T8T4;P51410,Large ribosomal subunit protein uL6,21853.37,17,30,100,9,8.130117909434457,9.439837946048538,9.929352473403316,9.611792839154623,9.416444938762007,8.969044066464786,7.718220756160392,8.24622000099354,8.528741438728282,8.268340248243886,7.88906710304619,9.795000005678974,9.53571439867487,9.67661729521055,9.01322417783732,9.178633852840983,9.879517160022711,10.136049569214826,9.896589986020814,9.991103826457763,9.743501825300472,9.607068043710058,9.479920602754136,9.403573412033124,9.792230683367086,9.776171453908711,9.544262532336308,9.469101462518276,9.945001796275868,8.800666120310087,9.323192782369487,9.175684767721943,9.101940897171753,9.31260284082495,8.540398742751327,8.714593083853954,4.769655679314798e-5,0.00130436833785706,1.7992345639688612,TRUE,11.335406749925422,0.00129357732502573,0.0320917268293618,-0.960308406938532,TRUE,-6.004795658864907,nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding;rRNA binding,cytoplasmic translation;translation;metabolic process;biosynthetic process;cellular process;protein metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process,ribosome;ribonucleoprotein complex;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cell part,
Irf2,A0A1B0GQW5,A0A1B0GQW5;P23906,Interferon regulatory factor 2,16417.19,5,21,70,2,4.264337693039874,3.1534651672244767,3.728350613312319,4.189890969443652,3.690031008654032,4.405495341358817,,4.220121889585274,4.491866182239139,4.081025007295208,,3.555893514761713,3.6243985676982975,2.49009973446456,2.662430753801097,3.434503265396715,3.5587989269839184,4.382144293778945,4.0466064747122275,4.179368208761425,2.474835162325077,3.6775550261637497,5.427305809939968,,3.464812072227236,,,4.033396450322663,,4.15648324325525,2.8802133323841823,4.60581372707793,4.205176955639704,,,,0.7517015328728944,0.83078147548578,0.19728117471509288,FALSE,0.3288919565397772,0.9437998515060984,0.972274402934592,0.0322121623714473,FALSE,0.07282219770104935,regulatory region DNA binding;transcription regulatory region sequence-specific DNA binding;regulatory region nucleic acid binding;nucleic acid binding transcription factor activity;nucleic acid binding;DNA binding;sequence-specific DNA binding transcription factor activity;binding;sequence-specific DNA binding;transcription regulatory region DNA binding,nucleobase-containing compound metabolic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;cellular process;RNA metabolic process;cellular nitrogen compound metabolic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;biological regulation,nucleus;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,
Rbl2,A0A1B0GR06,A0A1B0GR06;A0A1B0GRM0;Q64700,RB transcriptional corepressor like 2,126270.86,8,27,90,3,6.655780547664202,6.418205420102426,6.30046037920151,6.511585296116675,6.2693804433414835,6.547298516900281,,7.052297226880531,7.047225613021998,5.763207503002257,6.760391847752022,6.612259405182416,6.571761900253585,6.029510338854492,6.859621891021903,6.0178735651997295,6.338668792738506,6.579387991340654,6.303726548677053,6.239692917751065,6.040825645500276,5.8420966110971175,6.873585106463571,6.986991058766675,6.969198453218292,5.886055251037726,,6.671583608961634,6.2244910480613544,5.891611846469738,6.289835269873205,6.913595613815678,6.42980309472712,6.430871071801319,6.414924287257009,,0.5633575887723663,0.682336124026731,0.6533990966018948,FALSE,0.6284608630063199,0.49444431115210663,0.698351112638048,-0.7644870521930249,FALSE,-0.7499116101563567,,chromatin organization;organelle organization;cell cycle;cellular process;cellular component organization;chromosome organization;regulation of cell cycle;biological regulation,nucleus;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,
Tubgcp2,A0A1B0GR08,A0A1B0GR08;Q921G8,Gamma-tubulin complex component (Fragment),102742.09,21,30,100,5,4.528803657740391,5.143303703024433,5.0921755026835065,5.160147432230628,4.89116725435216,5.102011143787918,4.22100557480404,3.874165552236903,4.601381117392292,4.998852849721411,4.94861319454731,5.2833633753769105,5.06403009048399,4.811309030436864,5.424115787619527,5.133700231204873,5.059951228553688,5.379819632886459,4.664965973199898,5.200266295090606,5.155874383686883,4.718188871390577,5.152331267807702,5.303497188407873,5.294381101289043,5.332338732257946,4.464284240949867,4.868481783608056,5.123190752074919,4.844298134694082,5.155581360433876,5.272079424511494,4.955836380785423,5.298191252540207,4.956212712021536,5.0277359490809275,0.06013515566730327,0.142201106696061,0.5633718449431155,FALSE,2.2925446599441637,0.9463897588951332,0.972794598553691,0.00983564110441115,FALSE,0.06976003920987299,binding;protein binding;cytoskeletal protein binding;tubulin binding;gamma-tubulin binding,organelle organization;cytoskeleton organization;cellular process;cellular component organization,centrosome;microtubule organizing center;cytosol;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;protein complex;cell part,
Taldo1,A0A1B0GR11,A0A1B0GR11;Q93092,Transaldolase,42151.38,51,30,100,41,11.474534638053042,11.289780726818822,12.469219788855376,12.658713654076097,12.894484353062072,12.842939152550002,11.658614975949668,11.487033208666524,11.592988349772112,11.26581117217106,11.368225483705842,11.396024598185589,11.24448172107928,11.259113524999217,11.183700493848075,11.36558329598195,12.554929322511418,12.407830610643408,12.498134973961797,12.416627720035194,12.468576317125065,12.671182323032914,12.74247947062155,12.451488836097512,12.7143534859721,12.714064154656404,12.68518294601721,12.81288970020674,12.822127715845603,12.938356415902364,13.213864987338445,12.88181225642146,12.847839782292883,12.92506097519807,12.737777020857248,12.822205727980345,4.118992184598195e-5,0.00117540516108317,0.9946851508023348,TRUE,12.968539274070173,2.1224250343581703e-5,0.00398037871769767,0.3737193636946259,TRUE,9.000027700336005,"catalytic activity;sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity;binding;sugar binding;transferase activity;transferase activity, transferring aldehyde or ketonic groups;carbohydrate binding;monosaccharide binding",carbohydrate metabolic process;alcohol metabolic process;cellular aldehyde metabolic process;metabolic process;cellular process;cellular metabolic process;primary metabolic process;small molecule metabolic process,cytoplasm;cell part,
Mob2,A0A1B0GR18,A0A1B0GR18;Q8VI63,MOB kinase activator 2,30232.55,7,30,100,5,6.47409277792689,6.699520927025183,6.44017792373071,6.760778652708218,6.3893930653112605,6.430335101982086,6.23119700564284,6.759313323714671,6.307242229895742,6.54765273533914,6.525058595042054,6.7440827104227115,6.429191536381085,6.779206159997406,6.623475754446797,6.921648473877922,5.989653574324376,6.377025404144612,6.173223905276837,6.6739343308961026,6.987052404011624,6.55057066439897,6.7145613284169325,6.763008579302686,6.646799289853144,7.128953401569364,6.245125713567829,6.004157874662885,6.200098929771062,6.719249158557328,6.7783336499971965,6.0945960945643005,6.004384735061865,6.765267177247204,6.683593598322931,6.6038339047141354,0.8715002627303482,0.914053986496479,-0.03391485419617979,FALSE,-0.16871856648290068,0.9680334948011736,0.984920485286022,-0.00984282174862372,FALSE,-0.04136307192695184,,,nucleoplasm;nucleolus;cytosol;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;cell part,
Rcn3,A0A1B0GR19,A0A1B0GR19;A0A1B0GR86;Q8BH97,"Reticulocalbin 3, EF-hand calcium binding domain (Fragment)",31842.95,29,30,100,9.5,9.59318277514578,9.126335195222914,8.071506034698158,8.253128000287374,8.201717567863023,8.311691082402088,9.36204386939303,9.416557111307814,8.970439811751717,10.244279915354552,9.972593167921778,8.635344930898428,9.080865660350549,9.17390263126591,9.609083576848723,9.13247917675096,7.829904542932427,8.390979465465696,7.569130593536988,8.583509892132822,7.984005679422856,8.195270517994908,8.400167134246791,8.076141002385349,8.442589966907862,8.151471379901965,7.946506179322062,7.737124978882524,8.441626622835793,8.459413857410569,8.423916200864163,7.883738937896769,8.092346803782487,8.13727808378596,8.692524836658574,8.752566749886652,9.576662997928628e-4,0.00854521878078012,-1.5216767404476208,TRUE,-5.184460287051006,0.3709688456609423,0.59645570055248,0.24018504770393,FALSE,0.9480453649552274,binding;calcium ion binding;ion binding;cation binding;metal ion binding,,,
Ptpre,A0A1B0GRH2,A0A1B0GRH2;A0A1B0GRT6;P49446,Receptor-type tyrosine-protein phosphatase,82093.19,7,28,93.3,4,3.4999690977938083,4.231578166913302,4.266849274837634,4.422395403080913,4.311927582971796,4.855482106832478,3.9408331408067863,,,3.30195942169948,3.2571147308751587,4.564050613612506,4.32297419556494,4.411554950249536,4.192351065141569,3.6669600099979567,4.753232564321903,4.646290290112192,3.7006104206668975,4.07840884072782,4.155704258359358,4.449934250926591,4.724180745665517,4.55130858503871,3.9195235904678,4.467029843305947,4.858357552403534,4.344292385706828,3.570613725871829,5.060568460502669,3.7258057903741193,4.64669405490299,4.767954171543353,4.902107151774179,4.668627070059454,5.292028085882417,0.01783748142610948,0.0604162860000165,1.200481706467318,FALSE,3.151417088599144,0.03741790470214231,0.168063470272334,0.5886328319948442,FALSE,2.5964133822265247,"catalytic activity;phosphoprotein phosphatase activity;protein tyrosine phosphatase activity;hydrolase activity;hydrolase activity, acting on ester bonds;phosphatase activity;phosphoric ester hydrolase activity",phosphorus metabolic process;metabolic process;cellular process;cellular metabolic process,plasma membrane;membrane;cell part,
Pde2a,A0A1B0GRJ9,A0A1B0GRJ9;Q5PR72;Q922S4,Phosphodiesterase,106355.55,8,27,90,3,3.019315015888744,3.4620805706527293,3.3158122870415703,3.756132031559724,3.4160010455360705,4.505896341781066,,3.432753675878592,,3.074245360782217,2.5509460110054225,,3.5070205635596494,3.425927341281886,3.692387019147664,3.2229873586217175,2.5269235128618925,3.020601565861327,3.590204170639636,3.75731461878693,3.6840175670580657,3.494521632051041,3.564088187432617,4.0192070692175506,3.967652836442262,3.735190432655151,3.728680560386236,1.4591379049126738,3.913232198919077,3.346359662299179,4.632594901163187,4.404870648753339,4.0898259293437285,4.3744892471950285,4.782470881295055,4.877825002318178,0.626568120434287,0.73207147955018,0.20548786941318076,FALSE,0.5079215852774879,0.00405512673792065,0.0532463713560303,1.1900840547394953,FALSE,4.301776530389911,"nucleotide binding;magnesium ion binding;catalytic activity;cyclic-nucleotide phosphodiesterase activity;3',5'-cyclic-nucleotide phosphodiesterase activity;3',5'-cyclic-AMP phosphodiesterase activity;cGMP-stimulated cyclic-nucleotide phosphodiesterase activity;binding;protein binding;phosphoric diester hydrolase activity;zinc ion binding;AMP binding;hydrolase activity;hydrolase activity, acting on ester bonds;purine nucleotide binding;guanyl nucleotide binding;GMP binding;protein domain specific binding;cyclic nucleotide binding;cAMP binding;cGMP binding;adenyl nucleotide binding;TPR domain binding;ribonucleotide binding;purine ribonucleotide binding;adenyl ribonucleotide binding;guanyl ribonucleotide binding;phosphate ion binding;phosphoric ester hydrolase activity;identical protein binding;protein homodimerization activity;ion binding;anion binding;cation binding;metal ion binding;transition metal ion binding;protein dimerization activity;3',5'-cyclic-GMP phosphodiesterase activity",circulatory system process;nucleobase-containing compound metabolic process;nitrogen compound metabolic process;signal transduction;metabolic process;catabolic process;nucleotide metabolic process;response to endogenous stimulus;cellular process;multicellular organismal process;cellular nitrogen compound metabolic process;nucleobase-containing compound catabolic process;response to chemical stimulus;cellular metabolic process;primary metabolic process;small molecule metabolic process;heterocycle metabolic process;response to stimulus;nucleobase-containing small molecule metabolic process;biological regulation,nucleus;cytosol;plasma membrane;membrane;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,
Plpbp,A0A1B0GRP7,A0A1B0GRP7;Q9Z2Y8,Pyridoxal phosphate binding protein (Fragment),,21,30,100,13,9.49476064057799,9.380110661534648,9.636008160650437,9.543481043687478,9.859738745541287,9.884995193705066,9.665005564233503,9.410299042402,9.773036052751785,9.395463663498838,9.229998880003826,9.343778186412912,9.42306883548539,9.325999571456398,9.389051627810147,9.418655086508394,9.8680775197354,9.652633515839382,9.707594207451583,9.36788954415938,9.583846016066436,9.71864470434682,9.586337477191384,9.52338415990581,9.627086303583194,9.261952573410186,9.85127457122403,9.872333514771636,9.69102835994664,10.042204756259045,9.841852525505082,9.908514023605589,9.876318621568808,9.71853381671705,9.895829025206115,10.02578048142777,0.3027153132044812,0.442718335008386,0.14124752007244723,FALSE,1.1040040752596705,0.03707136873461438,0.167376320087649,0.24898703305462888,FALSE,2.6090806182553785,binding;vitamin binding;pyridoxal phosphate binding;cofactor binding;vitamin B6 binding,,cytosol;cell part,
Bpnt1,A0A1B0GRV0,A0A1B0GRV0,"3'(2'),5'-bisphosphate nucleotidase 1",34973.89,39,30,100,24,8.928333357662897,8.952136078722894,9.55428462264279,9.541922271584633,9.763987195265079,9.414291461167222,9.171086983218787,8.905652523230836,9.26512769248096,8.710550546794723,8.589249042589183,9.029579422397092,8.896009714656175,8.821633865366817,8.895971545317547,9.11748584587684,9.624701542216249,9.5708850224056,9.729199075280068,9.45968262893087,9.38695484438116,9.646893203916278,9.5335623882005,9.466656033372358,9.605717326402702,9.45678240603132,9.735657451577875,9.642851681607173,9.947992859642191,9.584545095778449,9.90888888771971,9.653833258211954,9.66608299934972,9.67244530530971,8.990791443827442,9.088304299137294,0.00534829051078399,0.0269129924985101,0.6259512649798928,TRUE,4.3822150340982615,0.4340076630766603,0.648074304710621,-0.13999316147556762,FALSE,-0.8474164440385479,binding;ion binding;cation binding;metal ion binding,lipid metabolic process;phosphorus metabolic process;metabolic process;cellular process;cellular metabolic process;primary metabolic process;cellular lipid metabolic process,,
Rfx1,A0A1B0GRV3,A0A1B0GRV3;P48377,"Regulatory factor X, 1 (influences HLA class II expression)",98101.66,18,30,100,6,5.1662647969766375,5.12390707068006,5.349995336647844,5.167374394515937,4.949090754207359,5.224108080028473,5.220858159352266,5.2408380515585975,5.4086298356047,5.43204610694867,4.528951831418953,5.056190176883853,5.073796879411001,4.837659882871095,5.430703423128224,5.221184991106125,5.26500632918297,5.227981777422204,5.332454425158176,5.538605283256142,5.385928868219724,4.493015322506752,5.0941819301414135,5.3147473832273935,5.469283963562537,5.465643373141586,3.8545123151779617,5.126805756301051,5.083355801409238,5.5397244306733615,5.1410554674751845,4.961937050579716,5.04337829285566,5.179478162865434,5.688705562302604,5.247041331538949,0.33985092040092546,0.481414721057138,0.18373053967120612,FALSE,1.057799640485369,0.39925007421086234,0.619857906403679,-0.12588725661937072,FALSE,-0.914427653832373,nucleic acid binding transcription factor activity;nucleic acid binding;DNA binding;sequence-specific DNA binding transcription factor activity;binding,,nucleus;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,
Gab1,A0A1B0GS41,A0A1B0GS41;Q9QYY0,Growth factor receptor bound protein 2-associated protein 1,80185.32,9,26,86.7,3.5,5.1672086930535865,5.469363246298302,5.271230119509801,5.387427643562777,5.582552248734277,5.240702996556589,5.128273803980773,4.496082464351614,5.902947497205379,5.046336694363511,5.262403005366658,5.538303926149684,5.649981490374301,5.121005089872716,5.4401181597631,5.5974075653317135,5.399568825895555,5.400982076761671,5.188198241603617,5.409028310673529,4.9583731426146365,5.3496896873333055,5.949698673471446,5.169327448197675,,5.0809947652486835,,5.3121313835759345,6.017473477417964,5.78853424642767,5.21206988751554,4.8924727784744135,5.891303398472645,4.93833281272271,,,0.6848595541101805,0.778722884721624,0.1040214264562147,FALSE,0.4293463171043615,0.21029723292020425,0.431246172326694,-0.9633141275864876,FALSE,-1.480609292437957,,developmental process;response to chemical stimulus;anatomical structure formation involved in morphogenesis;response to stimulus;biological regulation,,
Arfip2,A0A1B0GS63,A0A1B0GS63;Q8K221,ADP-ribosylation factor interacting protein 2,37288.08,8,29,96.7,5,5.439112174868275,5.727876910940983,5.566367565812386,5.78987176420753,5.628162305133182,5.757696499104458,5.444452421581477,5.663624116900932,,5.492326437224762,5.156045723765927,5.682549097417591,5.502289413681112,5.909094691769356,5.818576619173713,5.726874732663145,5.4879905045675725,5.594704341474592,5.324516792809114,5.843739468102424,5.580886722108224,5.81315713684037,5.7701465582646545,5.886109875265423,6.066590163369008,5.413355087298198,5.830321288936484,5.624696634446815,5.377094531315176,5.498250404848761,5.810448666118676,5.705449516402646,5.802311348775724,5.904504898751618,5.704310533399468,5.671906198192837,0.31193761200162573,0.452175576464688,0.8945163588814093,FALSE,1.1524285617386372,0.09027808870563918,0.271860153488573,0.19132893329207248,FALSE,2.022033048627939,binding;protein binding;protein domain specific binding,,cytoplasm;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,
Aldh16a1,A0A1B0GSU0,A0A1B0GSU0;D3Z0B9;Q571I9,Aldehyde dehydrogenase family 16 member A1,84797.9,15,30,100,9,8.040926943650717,8.306143039246187,7.698491307394169,7.559367227398617,7.263444212852306,7.785064797918541,7.754276286500045,7.907018178162987,8.244880893858877,7.885897136206939,8.412562223524736,8.266850007597657,8.297583255649014,8.251956775619222,8.365804730926103,8.348520426438945,7.423507327136218,7.844501963949849,7.887828411767369,7.791950895808902,7.544667938308513,7.280244325335977,7.576254474065684,7.76019172308158,7.48439195587912,7.695753658630721,6.416239458142299,7.639752714640643,7.424432864834191,7.335230319954893,7.501565706689507,8.039161538987443,7.630517879763158,7.505385871204433,8.060299959118629,7.689958740519048,0.05860756671643044,0.139682564442946,-0.34243563625654794,FALSE,-2.2361254323173587,0.5659233473906038,0.75210678545372,0.0865734905243718,FALSE,0.5998107864811111,"catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors",,,
Nup98,A0A1B0GSX7,A0A1B0GSX7,Nuclear pore complex protein Nup98-Nup96,197312.7,43,30,100,15,7.860893777606566,7.330430822762009,7.999400791467435,8.147803287063654,8.2933444026656,7.9966077472429005,7.899996494646981,7.987124852249813,7.845889402193585,7.922511996998185,7.648946141944264,7.1439030425840855,7.576157000660784,7.122080714839339,7.371011657942947,7.43900169778289,7.834947510547222,8.111691759295118,7.790359435234328,8.254592119363382,8.005413132897123,8.246071224339747,8.238918545648124,8.029400977898336,8.051067182640136,8.173558504791936,8.306483541128156,8.188374539702798,8.318845351082688,8.361961170538013,8.291057410876356,8.18332431576371,7.919789156204099,7.938709161140849,8.092109322691876,7.849106780413966,0.2234129946658855,0.35575697326824,0.1385070138608695,FALSE,1.336134350691827,0.9796371309759372,0.989652481994405,-0.00279304422453474,FALSE,-0.02642101398577514,protein binding transcription factor activity;transcription factor binding transcription factor activity;nucleic acid binding;transcription cofactor activity;transcription coactivator activity;RNA binding;mRNA binding;signal sequence binding;structural molecule activity;binding;nuclear localization sequence binding;structural constituent of nuclear pore;peptide binding,protein complex assembly;protein targeting;transport;nucleocytoplasmic transport;organelle organization;nucleus organization;cellular process;protein transport;nucleobase-containing compound transport;cellular component organization;cellular component assembly;cellular macromolecular complex assembly;nuclear transport;establishment of localization;macromolecular complex assembly;biological regulation,kinetochore;membrane;macromolecular complex;organelle;intracellular organelle;intracellular non-membrane-bounded organelle;protein complex;cell part,RNA transport
Bax,A0A1B0GT81,A0A1B0GT81;A0A1B0GTA4;Q07813,BCL2-associated X protein,18955.56,16,30,100,11.5,8.378132098708392,9.009475896674761,8.852707476199486,9.1137777427775,8.985836399434982,8.920772458519675,8.525425223711832,8.39213737027719,8.428570518360557,8.394216695004728,8.150310686187648,8.8216924435468,8.868855892904781,9.105226759357404,8.9196345139745965,9.33196987359023,8.95678699308404,8.821868844861983,8.739266193797095,8.715569615232347,9.03004573402196,9.06358615646851,8.978680525292138,9.332342010578827,9.228765122638409,8.965514898909621,8.81700851667132,8.951024350738804,8.754106718997855,9.40564074535368,9.001401665413244,8.907454863512772,9.09831469934877,8.807228337273338,8.780894347232232,9.009970045231263,6.070600254087356e-4,0.00648445491878734,0.4745753774910942,TRUE,5.452640458890396,0.45018361901794435,0.662690956351142,0.06806498232018932,FALSE,0.7938690744331465,,response to stress;response to DNA damage stimulus;signal transduction;cellular process;response to stimulus;biological regulation,mitochondrion;cytosol;organelle;intracellular organelle;intracellular membrane-bounded organelle;cell part,
